sha256	size_bytes	path	note
2afd0d2e70732f628bc514eddb45a5844fc9ac8002b0f3d4d2f6548750b45177	6185449	TTRL/important_experiment_logs/qwen3_30b_a3b_base_gpqa_n16_mlen4096_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
128a523d2085a026927c078440e2fdd28dc256c7836d75e2be89c60356e67538	10972286	TTRL/important_experiment_logs/qwen3_30b_a3b_base_math500_n16_full_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
7af6e5c025687f8cfc7d7531b84ed019405c552f918e3e5b437a63d9612bd1c7	525738	TTRL/important_experiment_logs/qwen3_30b_a3b_base_math500_n4_limit100_outputs.jsonl	model output artifact omitted from slim git archive
e92d0d7b814c79ecbdf53af62a9fd9800662e142f534eb4be90241317cb6158a	678304	TTRL/important_experiment_logs/qwen3_30b_a3b_base_math500_vllm_n1_outputs.jsonl	model output artifact omitted from slim git archive
6cecca68f6a7eb1ac4d31280212463dc27d0b415d95a9843b8e4a1d44861d9ed	9596	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_debug_smoke_outputs.jsonl	model output artifact omitted from slim git archive
19a1705b1d26d00afeba6aa771136da4c97bf70a73d3fa8cafa971152517b5f6	640768	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k4_pool16_tau1_math500_n1_outputs.jsonl	model output artifact omitted from slim git archive
27873a025add846bb1b31f362b324b2d4687b2e0ee6d5bdfb33cb6f528c906e5	505580	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k4_pool16_tau1_math500_n4_limit100_outputs.jsonl	model output artifact omitted from slim git archive
dc6256726d8606931283c6b7675d4c76dc366820ce5cd39025bb4c5b47fe7dc6	1005883	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k7_pool16_tau05_math500_n8_limit100_outputs.jsonl	model output artifact omitted from slim git archive
f9945f81f90a9be4a60607f76194beab4cbd84c444efcaeb8618c81f57cc95a7	3460734	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_math500_n16_full_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
824c085125d54900a0f09e5f107148752b3258fb1f15bcec47cf4fd1c91d18b5	6032884	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_stochastic_gpqa_n16_mlen4096_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
d9d8bd8aeecb37d7e67c06830b0607cafeed78f38039620d8b2350e57a42d023	10585928	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k5_pool32_tau05_stochastic_math500_n16_full_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
7833d7c4dc1e99f59a8a18a2e3ab6243d385a0d2636a9cdb31f81ce8c257da9a	10596292	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_k7_pool16_tau05_math500_n16_full_outputs.jsonl	large model output or diagnostic artifact omitted from slim git archive
257ec9e4de590275a5d5278a7f566705bd185e9d1b81cb22cebe253bd7ca1a15	17870	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_math500_smoke16_outputs.jsonl	model output artifact omitted from slim git archive
d7babe91cbd1778eb55948928d37ada19409b7954ca76b39ed235774adc6ee17	9887	TTRL/important_experiment_logs/qwen3_30b_a3b_expertsample_stochastic_debug_smoke_outputs.jsonl	model output artifact omitted from slim git archive
