step,acc_mean@4
5,0.541
10,0.527
15,0.532
20,0.544
25,0.556
30,0.544
35,0.551
40,0.570
45,0.577
50,0.597
55,0.621
60,0.638
65,0.644
70,0.671
75,0.694
80,0.705
85,0.717
90,0.722
95,0.738
100,0.751
105,0.778
110,0.790
115,0.805
120,0.808
125,0.816
130,0.823
135,0.828
140,0.856
145,0.844
150,0.860
155,0.865
160,0.872
165,0.881
170,0.875
175,0.870
180,0.886
185,0.878
190,0.874
195,0.882
200,0.879
205,0.883
210,0.881
215,0.878
220,0.880
225,0.875
230,0.891
235,0.891
240,0.893
245,0.899
250,0.896
255,0.900
260,0.890
265,0.898
270,0.900
275,0.898
280,0.892
285,0.898
290,0.897
295,0.898
300,0.899
305,0.897
310,0.897
315,0.898
320,0.902
325,0.901
330,0.895
335,0.898
340,0.898
345,0.900
350,0.901
355,0.896
360,0.899
365,0.897
370,0.902
375,0.895
380,0.899
385,0.899
390,0.902
395,0.900
400,0.900
405,0.895
410,0.902
415,0.898
420,0.899
425,0.908
430,0.900
435,0.895
440,0.902
445,0.899
450,0.898
455,0.901
460,0.900
465,0.891
470,0.899
475,0.900
480,0.899
485,0.895
490,0.892
495,0.897
500,0.897
505,0.890
510,0.896
515,0.891
520,0.897
525,0.895
530,0.893
535,0.894
540,0.898
545,0.891
550,0.887
555,0.889
560,0.887
565,0.903
570,0.891
575,0.892
580,0.893
585,0.893
590,0.895
595,0.890
600,0.898
605,0.892
610,0.899
615,0.892
620,0.891
625,0.890
630,0.893
635,0.885
640,0.896
645,0.893
650,0.895
655,0.891
660,0.892
665,0.892
670,0.889
675,0.891
680,0.882
685,0.897
690,0.889
695,0.889
700,0.884
705,0.893
710,0.886
715,0.882
720,0.884
725,0.892
730,0.887
735,0.894
740,0.892
745,0.888
750,0.883
755,0.890
760,0.890
765,0.893
770,0.888
775,0.890
780,0.894
785,0.888
790,0.888
795,0.894
800,0.889
805,0.887
810,0.893
815,0.889
820,0.890
825,0.888
830,0.893
835,0.891
840,0.897
845,0.892
850,0.893
855,0.893
860,0.895
865,0.888
870,0.889
875,0.889
880,0.892
885,0.891
890,0.896
895,0.891
900,0.896
905,0.890
910,0.886
915,0.888
920,0.888
925,0.890
930,0.887
935,0.890
940,0.885
945,0.886
950,0.881
955,0.884
960,0.890
965,0.887
970,0.886
975,0.881
980,0.889
985,0.884
990,0.888
995,0.888
1000,0.888
1005,0.882
1010,0.890
1015,0.888
1020,0.890
1025,0.886
1030,0.885
1035,0.894
1040,0.890
1045,0.887
1050,0.882
1055,0.888
1060,0.889
1065,0.888
1070,0.888
1075,0.889
1080,0.891
1085,0.886
1090,0.886
1095,0.891
1100,0.889
1105,0.886
1110,0.886
1115,0.892
1120,0.894
1125,0.888
1130,0.892
1135,0.892
1140,0.890
1145,0.884
1150,0.885
1155,0.886
1160,0.888
1165,0.892
1170,0.890
1175,0.888
1180,0.884
1185,0.891
1190,0.885
1195,0.884
1200,0.881
1205,0.885
1210,0.887
1215,0.886
1220,0.883
1225,0.884
1230,0.889
1235,0.887
1240,0.882
1245,0.883
1250,0.889
1255,0.887
1260,0.895
1265,0.886
1270,0.884
1275,0.878
1280,0.891
