label	method	artifact_status	strict_mean4	best4	maj4_diag	target_conf	target_entropy	target_effective_K	unique_answers	target_majority_mass_diag	base_agreement	low_budget_parseable	low_budget_clip	low_budget_top_mass	process_consistent	process_top_support	count_neutral	pairwise_top_pref	pairwise_pref_std	support_gate_strength	support_gate_top_conf	support_target_overlap	support_target_agreement	support_low_budget_entropy	support_process_entropy	support_mixture_alpha	support_mixture_pre_conf	support_mixture_pre_effective_K	support_mixture_pre_overlap	support_cap_alpha	support_cap_value	support_cap_pre_conf	support_residual_strength	support_residual_mean	support_residual_std	support_residual_top_value	split_support_strength	split_support_top_conf	split_support_target_overlap	split_support_target_agreement	split_support_view_overlap	capacity_brake_alpha	capacity_brake_pre_conf	capacity_brake_pre_effective_K	capacity_brake_pre_overlap	capacity_brake_post_effective_K	basin_contrast_alpha	basin_contrast_target_margin	basin_contrast_support_margin	basin_contrast_base_margin	basin_contrast_low_budget_margin	basin_contrast_process_margin	basin_contrast_post_effective_K	sps_pick_acc	sps_correct_weight_mass	pass_at_32	val_clip_mean4	val_format_mean4	val_avg_logprob_mean4	train_clip_ratio	step_time_s	throughput
majvote_baseline	Majority pseudo-label baseline	COMPLETE_METRICS	0.73490945674	0.838338028169	0.746696177062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.016	0.96629778672	-0.081	0.027	250.373	92.99
v48_best_sps	Best prior SPS process-consistency capacity	COMPLETE_METRICS	0.745472837022	0.860191146881	0.762547283702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0110663983903	0.971327967807	-0.0838860680356	0.016	248.623	83.119
v62_process_quality	Process-quality SPS negative result	COMPLETE_METRICS	0.733903420523	0.830414486922	0.750251509054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.015	0.967303822938	-0.084	0.02	251.816	86.858
v63_direct_prob	Pure direct sharpened probability	COMPLETE_METRICS	0.725855130785	0.841040241449	0.742672032193	0.78	1.018	2.536	13.5	0.78	1	1	0	0.844	0.887	0.983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125	0.392	1	0.018	0.972334004024	-0.079	0.059	256.784	103.466
v67_band_limited	Band-limited process sharpening	COMPLETE_METRICS	0.718309859155	0.832289738431	0.730635814889	0.824	0.776	1.949	10.75	0.824	1	1	0	0.719	0.963	0.988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125	0.41	1	0.0125754527163	0.967303822938	-0.082	0.012	253.727	84.191
v68_count_neutral	Count-neutral process sharpening	COMPLETE_METRICS	0.310865191147	0.528106639839	0.326138832998	0.151	2.639	12.798	36.125	0.038	0.125	0.938	0.094	0	0.512	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.05	1	0.106136820926	0.971327967807	-0.103	0.086	276.334	140.277
v69_pairwise_count_neutral	Pairwise process preference on count-neutral target	COMPLETE_METRICS	0.498993963783	0.710891348089	0.520195171026	0.153	2.43	11.667	30.375	0.082	0.125	1	0.031	0.062	0.623	1	1	0.242	0.207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.04	1	0.0965794768612	0.971830985915	-0.09	0.055	264.014	118.108
v75_support_gated	Support-gated process sharpening	COMPLETE_METRICS	0.740945674044	0.84676056338	0.757076458753	0.902	0.439	1.401	11.375	0.902	1	1	0	0.875	0.951	0.998	0	0	0	1	0.54	0.626	1	0.766	1.631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.444	1	0.016	0.964788732394	-0.083	0.008	248.904	83.114
v76_support_mixture	Support-mixture process sharpening	COMPLETE_METRICS	0.730885311871	0.838889336016	0.747315895372	0.873	0.571	1.452	9.25	0.873	1	0.969	0.031	0.75	0.967	0.994	0	0	0	1	0.575	0.691	0.875	0.748	1.454	0.069	0.902	1.38	0.662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.625	0.445	1	0.0135814889336	0.966800804829	-0.084	0.02	250.032	82.769
v77_support_calibrated	Support-calibrated confidence-cap sharpening	COMPLETE_METRICS	0.630784708249	0.810030181087	0.659070422535	0.491	2.074	4.099	24.375	0.491	1	0.969	0.031	0.594	0.725	0.924	0	0	0	0	0.215	0.652	1	1.774	2.358	0	0.723	2.82	0.427	0.75	0.55	0.723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.225	1	0.043	0.967806841046	-0.087	0.086	268.988	120.378
