timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 10:00:54.288, 0, 0, 0, 183359, 189.66
2026/06/30 10:00:54.289, 1, 0, 0, 183359, 189.79
2026/06/30 10:00:54.291, 2, 0, 0, 183359, 192.57
2026/06/30 10:00:54.292, 3, 0, 0, 183359, 196.30
2026/06/30 10:00:54.294, 4, 0, 0, 183359, 188.64
2026/06/30 10:00:54.295, 5, 0, 0, 183359, 190.31
2026/06/30 10:00:54.297, 6, 0, 0, 183359, 191.08
2026/06/30 10:00:54.298, 7, 0, 0, 183359, 188.01
2026/06/30 10:00:59.300, 0, 0, 0, 183359, 189.74
2026/06/30 10:00:59.300, 1, 0, 0, 183359, 189.81
2026/06/30 10:00:59.300, 2, 0, 0, 183359, 192.50
2026/06/30 10:00:59.300, 3, 0, 0, 183359, 196.33
2026/06/30 10:00:59.300, 4, 0, 0, 183359, 188.60
2026/06/30 10:00:59.300, 5, 0, 0, 183359, 190.23
2026/06/30 10:00:59.300, 6, 0, 0, 183359, 191.18
2026/06/30 10:00:59.300, 7, 0, 0, 183359, 188.10
2026/06/30 10:01:04.301, 0, 0, 0, 183359, 189.65
2026/06/30 10:01:04.301, 1, 0, 0, 183359, 189.83
2026/06/30 10:01:04.301, 2, 0, 0, 183359, 192.61
2026/06/30 10:01:04.301, 3, 0, 0, 183359, 196.33
2026/06/30 10:01:04.301, 4, 0, 0, 183359, 188.70
2026/06/30 10:01:04.301, 5, 0, 0, 183359, 190.19
2026/06/30 10:01:04.301, 6, 0, 0, 183359, 191.06
2026/06/30 10:01:04.301, 7, 0, 0, 183359, 188.04
2026/06/30 10:01:09.301, 0, 0, 0, 183359, 189.76
2026/06/30 10:01:09.301, 1, 0, 0, 183359, 189.14
2026/06/30 10:01:09.301, 2, 0, 0, 183359, 192.47
2026/06/30 10:01:09.301, 3, 0, 0, 183359, 196.32
2026/06/30 10:01:09.301, 4, 0, 0, 183359, 188.65
2026/06/30 10:01:09.301, 5, 0, 0, 183359, 190.23
2026/06/30 10:01:09.301, 6, 0, 0, 183359, 191.16
2026/06/30 10:01:09.301, 7, 0, 0, 183359, 188.02
2026/06/30 10:01:14.302, 0, 0, 1, 183359, 189.93
2026/06/30 10:01:14.320, 1, 0, 1, 183359, 188.59
2026/06/30 10:01:14.320, 2, 0, 1, 183359, 192.52
2026/06/30 10:01:14.320, 3, 0, 1, 183359, 196.35
2026/06/30 10:01:14.320, 4, 0, 1, 183359, 188.64
2026/06/30 10:01:14.320, 5, 0, 1, 183359, 190.27
2026/06/30 10:01:14.320, 6, 0, 1, 183359, 191.19
2026/06/30 10:01:14.320, 7, 0, 1, 183359, 188.08
2026/06/30 10:01:19.321, 0, 0, 4, 183359, 189.93
2026/06/30 10:01:19.321, 1, 0, 4, 183359, 189.63
2026/06/30 10:01:19.321, 2, 0, 4, 183359, 192.58
2026/06/30 10:01:19.321, 3, 0, 4, 183359, 196.39
2026/06/30 10:01:19.321, 4, 0, 4, 183359, 188.76
2026/06/30 10:01:19.321, 5, 0, 4, 183359, 190.29
2026/06/30 10:01:19.321, 6, 0, 4, 183359, 191.17
2026/06/30 10:01:19.321, 7, 0, 4, 183359, 188.04
2026/06/30 10:01:24.321, 0, 0, 4, 183359, 189.91
2026/06/30 10:01:24.321, 1, 0, 4, 183359, 189.88
2026/06/30 10:01:24.321, 2, 0, 4, 183359, 192.53
2026/06/30 10:01:24.321, 3, 0, 4, 183359, 196.35
2026/06/30 10:01:24.321, 4, 0, 4, 183359, 188.71
2026/06/30 10:01:24.321, 5, 0, 4, 183359, 190.29
2026/06/30 10:01:24.321, 6, 0, 4, 183359, 191.11
2026/06/30 10:01:24.321, 7, 0, 4, 183359, 188.02
2026/06/30 10:01:29.322, 0, 0, 4, 183359, 189.87
2026/06/30 10:01:29.322, 1, 0, 4, 183359, 189.84
2026/06/30 10:01:29.322, 2, 0, 4, 183359, 192.57
2026/06/30 10:01:29.322, 3, 0, 4, 183359, 196.40
2026/06/30 10:01:29.322, 4, 0, 4, 183359, 188.68
2026/06/30 10:01:29.322, 5, 0, 4, 183359, 190.18
2026/06/30 10:01:29.322, 6, 0, 4, 183359, 191.25
2026/06/30 10:01:29.322, 7, 0, 4, 183359, 188.04
2026/06/30 10:01:34.322, 0, 0, 4, 183359, 189.84
2026/06/30 10:01:34.322, 1, 0, 4, 183359, 189.81
2026/06/30 10:01:34.322, 2, 0, 4, 183359, 192.51
2026/06/30 10:01:34.322, 3, 0, 4, 183359, 196.27
2026/06/30 10:01:34.322, 4, 0, 4, 183359, 188.63
2026/06/30 10:01:34.322, 5, 0, 4, 183359, 190.35
2026/06/30 10:01:34.322, 6, 0, 4, 183359, 191.18
2026/06/30 10:01:34.322, 7, 0, 4, 183359, 188.05
2026/06/30 10:01:39.323, 0, 0, 4, 183359, 189.88
2026/06/30 10:01:39.323, 1, 0, 4, 183359, 188.62
2026/06/30 10:01:39.323, 2, 0, 4, 183359, 192.65
2026/06/30 10:01:39.323, 3, 0, 4, 183359, 196.38
2026/06/30 10:01:39.323, 4, 0, 4, 183359, 188.71
2026/06/30 10:01:39.323, 5, 0, 4, 183359, 190.34
2026/06/30 10:01:39.323, 6, 0, 4, 183359, 191.22
2026/06/30 10:01:39.323, 7, 0, 4, 183359, 188.02
2026/06/30 10:01:44.323, 0, 0, 4, 183359, 189.84
2026/06/30 10:01:44.323, 1, 0, 4, 183359, 188.52
2026/06/30 10:01:44.323, 2, 0, 4, 183359, 192.58
2026/06/30 10:01:44.323, 3, 0, 4, 183359, 196.25
2026/06/30 10:01:44.323, 4, 0, 4, 183359, 188.71
2026/06/30 10:01:44.323, 5, 0, 4, 183359, 190.28
2026/06/30 10:01:44.323, 6, 0, 4, 183359, 191.22
2026/06/30 10:01:44.323, 7, 0, 4, 183359, 188.09
2026/06/30 10:01:49.324, 0, 0, 4, 183359, 189.75
2026/06/30 10:01:49.324, 1, 0, 4, 183359, 189.19
2026/06/30 10:01:49.324, 2, 0, 4, 183359, 192.55
2026/06/30 10:01:49.324, 3, 0, 4, 183359, 196.41
2026/06/30 10:01:49.324, 4, 0, 4, 183359, 188.81
2026/06/30 10:01:49.324, 5, 0, 4, 183359, 190.29
2026/06/30 10:01:49.324, 6, 0, 4, 183359, 191.25
2026/06/30 10:01:49.324, 7, 0, 4, 183359, 188.02
2026/06/30 10:01:54.324, 0, 0, 4, 183359, 189.83
2026/06/30 10:01:54.324, 1, 0, 4, 183359, 189.76
2026/06/30 10:01:54.324, 2, 0, 4, 183359, 192.52
2026/06/30 10:01:54.324, 3, 0, 4, 183359, 196.31
2026/06/30 10:01:54.324, 4, 0, 4, 183359, 188.70
2026/06/30 10:01:54.324, 5, 0, 4, 183359, 190.20
2026/06/30 10:01:54.324, 6, 0, 4, 183359, 191.15
2026/06/30 10:01:54.325, 7, 0, 4, 183359, 188.00
2026/06/30 10:01:59.325, 0, 0, 4, 183359, 189.81
2026/06/30 10:01:59.325, 1, 0, 4, 183359, 189.85
2026/06/30 10:01:59.325, 2, 0, 4, 183359, 192.49
2026/06/30 10:01:59.325, 3, 0, 4, 183359, 196.32
2026/06/30 10:01:59.325, 4, 0, 4, 183359, 188.79
2026/06/30 10:01:59.325, 5, 0, 4, 183359, 190.15
2026/06/30 10:01:59.325, 6, 0, 4, 183359, 191.21
2026/06/30 10:01:59.325, 7, 0, 4, 183359, 187.99
2026/06/30 10:02:04.325, 0, 0, 4, 183359, 189.84
2026/06/30 10:02:04.325, 1, 0, 4, 183359, 189.85
2026/06/30 10:02:04.325, 2, 0, 4, 183359, 192.62
2026/06/30 10:02:04.326, 3, 0, 4, 183359, 196.38
2026/06/30 10:02:04.326, 4, 0, 4, 183359, 188.67
2026/06/30 10:02:04.326, 5, 0, 4, 183359, 190.18
2026/06/30 10:02:04.326, 6, 0, 4, 183359, 191.14
2026/06/30 10:02:04.326, 7, 0, 4, 183359, 188.00
2026/06/30 10:02:09.326, 0, 0, 4, 183359, 189.85
2026/06/30 10:02:09.326, 1, 0, 4, 183359, 189.82
2026/06/30 10:02:09.326, 2, 0, 4, 183359, 192.63
2026/06/30 10:02:09.326, 3, 0, 4, 183359, 196.46
2026/06/30 10:02:09.326, 4, 0, 4, 183359, 188.71
2026/06/30 10:02:09.326, 5, 0, 4, 183359, 190.22
2026/06/30 10:02:09.326, 6, 0, 4, 183359, 191.14
2026/06/30 10:02:09.326, 7, 0, 4, 183359, 188.12
2026/06/30 10:02:14.326, 0, 0, 4, 183359, 189.85
2026/06/30 10:02:14.327, 1, 0, 4, 183359, 189.92
2026/06/30 10:02:14.327, 2, 0, 4, 183359, 192.58
2026/06/30 10:02:14.327, 3, 0, 4, 183359, 196.28
2026/06/30 10:02:14.327, 4, 0, 4, 183359, 188.62
2026/06/30 10:02:14.327, 5, 0, 4, 183359, 190.27
2026/06/30 10:02:14.327, 6, 0, 4, 183359, 191.19
2026/06/30 10:02:14.327, 7, 0, 4, 183359, 188.11
2026/06/30 10:02:19.327, 0, 0, 4, 183359, 189.93
2026/06/30 10:02:19.327, 1, 0, 4, 183359, 189.72
2026/06/30 10:02:19.327, 2, 0, 4, 183359, 192.53
2026/06/30 10:02:19.327, 3, 0, 4, 183359, 196.31
2026/06/30 10:02:19.327, 4, 0, 4, 183359, 188.74
2026/06/30 10:02:19.327, 5, 0, 4, 183359, 190.18
2026/06/30 10:02:19.327, 6, 0, 4, 183359, 191.18
2026/06/30 10:02:19.327, 7, 0, 4, 183359, 188.07
2026/06/30 10:02:24.327, 0, 0, 4, 183359, 189.85
2026/06/30 10:02:24.328, 1, 0, 4, 183359, 188.81
2026/06/30 10:02:24.328, 2, 0, 4, 183359, 192.53
2026/06/30 10:02:24.328, 3, 0, 4, 183359, 196.30
2026/06/30 10:02:24.328, 4, 0, 4, 183359, 188.68
2026/06/30 10:02:24.328, 5, 0, 4, 183359, 190.16
2026/06/30 10:02:24.328, 6, 0, 4, 183359, 191.17
2026/06/30 10:02:24.328, 7, 0, 4, 183359, 188.10
2026/06/30 10:02:29.328, 0, 0, 4, 183359, 189.84
2026/06/30 10:02:29.328, 1, 0, 4, 183359, 188.50
2026/06/30 10:02:29.328, 2, 0, 4, 183359, 192.63
2026/06/30 10:02:29.328, 3, 0, 4, 183359, 196.34
2026/06/30 10:02:29.328, 4, 0, 4, 183359, 188.77
2026/06/30 10:02:29.328, 5, 0, 4, 183359, 190.26
2026/06/30 10:02:29.328, 6, 0, 4, 183359, 191.18
2026/06/30 10:02:29.328, 7, 0, 4, 183359, 188.04
2026/06/30 10:02:34.329, 0, 0, 4, 183359, 189.82
2026/06/30 10:02:34.329, 1, 0, 4, 183359, 188.81
2026/06/30 10:02:34.329, 2, 0, 4, 183359, 192.58
2026/06/30 10:02:34.329, 3, 0, 4, 183359, 196.40
2026/06/30 10:02:34.329, 4, 0, 4, 183359, 188.65
2026/06/30 10:02:34.329, 5, 0, 4, 183359, 190.29
2026/06/30 10:02:34.329, 6, 0, 4, 183359, 191.18
2026/06/30 10:02:34.329, 7, 0, 4, 183359, 188.04
2026/06/30 10:02:39.329, 0, 0, 4, 183359, 189.92
2026/06/30 10:02:39.329, 1, 0, 4, 183359, 189.46
2026/06/30 10:02:39.329, 2, 0, 4, 183359, 192.62
2026/06/30 10:02:39.329, 3, 0, 4, 183359, 196.36
2026/06/30 10:02:39.329, 4, 0, 4, 183359, 188.83
2026/06/30 10:02:39.329, 5, 0, 4, 183359, 190.32
2026/06/30 10:02:39.329, 6, 0, 4, 183359, 191.24
2026/06/30 10:02:39.329, 7, 0, 4, 183359, 188.05
2026/06/30 10:02:44.330, 0, 0, 4, 183359, 189.88
2026/06/30 10:02:44.330, 1, 0, 4, 183359, 189.90
2026/06/30 10:02:44.330, 2, 0, 4, 183359, 192.57
2026/06/30 10:02:44.330, 3, 0, 4, 183359, 196.44
2026/06/30 10:02:44.330, 4, 0, 4, 183359, 188.63
2026/06/30 10:02:44.330, 5, 0, 4, 183359, 190.29
2026/06/30 10:02:44.330, 6, 0, 4, 183359, 191.13
2026/06/30 10:02:44.330, 7, 0, 4, 183359, 188.02
2026/06/30 10:02:49.330, 0, 0, 4, 183359, 189.94
2026/06/30 10:02:49.330, 1, 0, 4, 183359, 189.83
2026/06/30 10:02:49.330, 2, 0, 4, 183359, 192.62
2026/06/30 10:02:49.330, 3, 0, 4, 183359, 196.31
2026/06/30 10:02:49.330, 4, 0, 4, 183359, 188.76
2026/06/30 10:02:49.330, 5, 0, 4, 183359, 190.21
2026/06/30 10:02:49.330, 6, 0, 4, 183359, 191.25
2026/06/30 10:02:49.330, 7, 0, 4, 183359, 188.05
2026/06/30 10:02:54.331, 0, 0, 4, 183359, 189.91
2026/06/30 10:02:54.331, 1, 0, 4, 183359, 189.86
2026/06/30 10:02:54.335, 2, 0, 4, 183359, 192.62
2026/06/30 10:02:54.335, 3, 0, 4, 183359, 196.41
2026/06/30 10:02:54.335, 4, 0, 4, 183359, 188.72
2026/06/30 10:02:54.335, 5, 0, 4, 183359, 190.27
2026/06/30 10:02:54.338, 6, 0, 4, 183359, 191.16
2026/06/30 10:02:54.339, 7, 0, 4, 183359, 188.07
2026/06/30 10:02:59.339, 0, 0, 4, 183359, 189.77
2026/06/30 10:02:59.340, 1, 0, 4, 183359, 189.58
2026/06/30 10:02:59.340, 2, 0, 4, 183359, 192.41
2026/06/30 10:02:59.340, 3, 0, 4, 183359, 196.13
2026/06/30 10:02:59.340, 4, 0, 4, 183359, 188.77
2026/06/30 10:02:59.340, 5, 0, 4, 183359, 190.11
2026/06/30 10:02:59.340, 6, 0, 4, 183359, 190.94
2026/06/30 10:02:59.340, 7, 0, 4, 183359, 187.92
2026/06/30 10:03:04.340, 0, 0, 26, 183359, 189.61
2026/06/30 10:03:04.380, 1, 0, 12, 183359, 189.80
