timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/07/04 20:13:01.728, 0, 0, 0, 183359, 242.86
2026/07/04 20:13:01.731, 1, 0, 0, 183359, 250.23
2026/07/04 20:13:01.732, 2, 0, 0, 183359, 244.38
2026/07/04 20:13:01.734, 3, 0, 0, 183359, 255.15
2026/07/04 20:13:01.735, 4, 0, 0, 183359, 248.96
2026/07/04 20:13:01.737, 5, 0, 0, 183359, 252.29
2026/07/04 20:13:01.738, 6, 0, 0, 183359, 245.40
2026/07/04 20:13:01.740, 7, 0, 0, 183359, 247.08
2026/07/04 20:13:06.741, 0, 0, 0, 183359, 242.73
2026/07/04 20:13:06.741, 1, 0, 0, 183359, 250.03
2026/07/04 20:13:06.742, 2, 0, 0, 183359, 244.21
2026/07/04 20:13:06.742, 3, 0, 0, 183359, 254.91
2026/07/04 20:13:06.742, 4, 0, 0, 183359, 248.58
2026/07/04 20:13:06.742, 5, 0, 0, 183359, 252.10
2026/07/04 20:13:06.742, 6, 0, 0, 183359, 244.92
2026/07/04 20:13:06.742, 7, 0, 0, 183359, 246.52
2026/07/04 20:13:11.742, 0, 0, 1, 183359, 242.73
2026/07/04 20:13:11.743, 1, 0, 1, 183359, 250.08
2026/07/04 20:13:11.743, 2, 0, 1, 183359, 244.23
2026/07/04 20:13:11.743, 3, 0, 1, 183359, 254.82
2026/07/04 20:13:11.743, 4, 0, 1, 183359, 248.62
2026/07/04 20:13:11.743, 5, 0, 1, 183359, 252.10
2026/07/04 20:13:11.743, 6, 0, 1, 183359, 244.94
2026/07/04 20:13:11.744, 7, 0, 1, 183359, 246.57
2026/07/04 20:13:16.745, 0, 0, 4, 183359, 242.82
2026/07/04 20:13:16.745, 1, 0, 4, 183359, 250.17
2026/07/04 20:13:16.745, 2, 0, 4, 183359, 244.36
2026/07/04 20:13:16.745, 3, 0, 4, 183359, 255.07
2026/07/04 20:13:16.745, 4, 0, 4, 183359, 248.95
2026/07/04 20:13:16.745, 5, 0, 4, 183359, 252.21
2026/07/04 20:13:16.745, 6, 0, 4, 183359, 245.33
2026/07/04 20:13:16.745, 7, 0, 4, 183359, 247.01
2026/07/04 20:13:21.746, 0, 0, 4, 183359, 242.86
2026/07/04 20:13:21.746, 1, 0, 4, 183359, 250.18
2026/07/04 20:13:21.746, 2, 0, 4, 183359, 244.29
2026/07/04 20:13:21.746, 3, 0, 4, 183359, 255.03
2026/07/04 20:13:21.746, 4, 0, 4, 183359, 248.97
2026/07/04 20:13:21.746, 5, 0, 4, 183359, 252.23
2026/07/04 20:13:21.746, 6, 0, 4, 183359, 245.24
2026/07/04 20:13:21.746, 7, 0, 4, 183359, 247.12
2026/07/04 20:13:26.746, 0, 0, 4, 183359, 242.90
2026/07/04 20:13:26.746, 1, 0, 4, 183359, 250.15
2026/07/04 20:13:26.746, 2, 0, 4, 183359, 244.36
2026/07/04 20:13:26.746, 3, 0, 4, 183359, 254.96
2026/07/04 20:13:26.746, 4, 0, 4, 183359, 248.97
2026/07/04 20:13:26.746, 5, 0, 4, 183359, 252.34
2026/07/04 20:13:26.746, 6, 0, 4, 183359, 245.36
2026/07/04 20:13:26.747, 7, 0, 4, 183359, 246.99
2026/07/04 20:13:31.747, 0, 0, 4, 183359, 242.83
2026/07/04 20:13:31.747, 1, 0, 4, 183359, 250.21
2026/07/04 20:13:31.747, 2, 0, 4, 183359, 244.58
2026/07/04 20:13:31.747, 3, 0, 4, 183359, 255.32
2026/07/04 20:13:31.747, 4, 0, 4, 183359, 249.11
2026/07/04 20:13:31.747, 5, 0, 4, 183359, 252.56
2026/07/04 20:13:31.747, 6, 0, 4, 183359, 245.55
2026/07/04 20:13:31.747, 7, 0, 4, 183359, 247.19
2026/07/04 20:13:36.747, 0, 0, 4, 183359, 242.91
2026/07/04 20:13:36.748, 1, 0, 4, 183359, 250.27
2026/07/04 20:13:36.748, 2, 0, 4, 183359, 244.53
