timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 03:29:47.853, 0, 0, 0, 183359, 191.30
2026/06/30 03:29:47.855, 1, 0, 0, 183359, 193.51
2026/06/30 03:29:47.856, 2, 0, 0, 183359, 188.34
2026/06/30 03:29:47.858, 3, 0, 0, 183359, 191.46
2026/06/30 03:29:47.859, 4, 0, 0, 183359, 187.93
2026/06/30 03:29:47.861, 5, 0, 0, 183359, 194.52
2026/06/30 03:29:47.862, 6, 0, 0, 183359, 192.99
2026/06/30 03:29:47.864, 7, 0, 0, 183359, 187.10
2026/06/30 03:29:52.866, 0, 0, 0, 183359, 191.30
2026/06/30 03:29:52.866, 1, 0, 0, 183359, 193.41
2026/06/30 03:29:52.866, 2, 0, 0, 183359, 188.32
2026/06/30 03:29:52.866, 3, 0, 0, 183359, 191.46
2026/06/30 03:29:52.866, 4, 0, 0, 183359, 187.92
2026/06/30 03:29:52.866, 5, 0, 0, 183359, 194.50
2026/06/30 03:29:52.866, 6, 0, 0, 183359, 192.97
2026/06/30 03:29:52.866, 7, 0, 0, 183359, 187.05
2026/06/30 03:29:57.866, 0, 0, 0, 183359, 191.26
2026/06/30 03:29:57.866, 1, 0, 0, 183359, 193.41
2026/06/30 03:29:57.866, 2, 0, 0, 183359, 188.33
2026/06/30 03:29:57.866, 3, 0, 0, 183359, 191.36
2026/06/30 03:29:57.866, 4, 0, 0, 183359, 187.90
2026/06/30 03:29:57.866, 5, 0, 0, 183359, 194.50
2026/06/30 03:29:57.866, 6, 0, 0, 183359, 192.90
2026/06/30 03:29:57.866, 7, 0, 0, 183359, 187.05
2026/06/30 03:30:02.867, 0, 0, 0, 183359, 191.20
2026/06/30 03:30:02.867, 1, 0, 0, 183359, 193.41
2026/06/30 03:30:02.867, 2, 0, 0, 183359, 188.33
2026/06/30 03:30:02.867, 3, 0, 0, 183359, 191.37
2026/06/30 03:30:02.867, 4, 0, 0, 183359, 187.88
2026/06/30 03:30:02.867, 5, 0, 0, 183359, 194.51
2026/06/30 03:30:02.867, 6, 0, 0, 183359, 192.92
2026/06/30 03:30:02.867, 7, 0, 0, 183359, 187.07
2026/06/30 03:30:07.867, 0, 0, 4, 183359, 191.44
2026/06/30 03:30:07.875, 1, 0, 4, 183359, 193.57
2026/06/30 03:30:07.898, 2, 0, 4, 183359, 188.43
2026/06/30 03:30:07.899, 3, 0, 4, 183359, 191.61
2026/06/30 03:30:07.954, 4, 0, 4, 183359, 188.09
2026/06/30 03:30:07.956, 5, 0, 4, 183359, 194.83
2026/06/30 03:30:07.957, 6, 0, 4, 183359, 193.33
