timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 12:19:04.705, 0, 0, 0, 183359, 190.40
2026/06/30 12:19:04.708, 1, 0, 0, 183359, 192.03
2026/06/30 12:19:04.709, 2, 0, 0, 183359, 193.12
2026/06/30 12:19:04.711, 3, 0, 0, 183359, 198.34
2026/06/30 12:19:04.712, 4, 0, 0, 183359, 189.14
2026/06/30 12:19:04.714, 5, 0, 0, 183359, 192.28
2026/06/30 12:19:04.715, 6, 0, 0, 183359, 192.84
2026/06/30 12:19:04.717, 7, 0, 0, 183359, 188.69
2026/06/30 12:19:09.718, 0, 0, 0, 183359, 190.23
2026/06/30 12:19:09.718, 1, 0, 0, 183359, 191.89
2026/06/30 12:19:09.719, 2, 0, 0, 183359, 193.08
2026/06/30 12:19:09.719, 3, 0, 0, 183359, 198.41
2026/06/30 12:19:09.719, 4, 0, 0, 183359, 189.04
2026/06/30 12:19:09.719, 5, 0, 0, 183359, 192.00
2026/06/30 12:19:09.719, 6, 0, 0, 183359, 192.84
2026/06/30 12:19:09.719, 7, 0, 0, 183359, 188.68
2026/06/30 12:19:14.719, 0, 0, 1, 183359, 190.29
2026/06/30 12:19:14.723, 1, 0, 1, 183359, 191.81
2026/06/30 12:19:14.723, 2, 0, 1, 183359, 193.07
2026/06/30 12:19:14.723, 3, 0, 1, 183359, 198.30
2026/06/30 12:19:14.723, 4, 0, 1, 183359, 189.12
2026/06/30 12:19:14.735, 5, 0, 1, 183359, 191.95
2026/06/30 12:19:14.735, 6, 0, 1, 183359, 192.67
2026/06/30 12:19:14.746, 7, 0, 1, 183359, 188.62
2026/06/30 12:19:19.746, 0, 0, 4, 183359, 190.23
2026/06/30 12:19:19.746, 1, 0, 4, 183359, 191.60
2026/06/30 12:19:19.746, 2, 0, 4, 183359, 193.12
2026/06/30 12:19:19.746, 3, 0, 4, 183359, 198.05
2026/06/30 12:19:19.746, 4, 0, 4, 183359, 189.08
2026/06/30 12:19:19.746, 5, 0, 4, 183359, 191.88
2026/06/30 12:19:19.746, 6, 0, 4, 183359, 192.68
2026/06/30 12:19:19.746, 7, 0, 4, 183359, 188.62
2026/06/30 12:19:24.747, 0, 0, 4, 183359, 190.21
2026/06/30 12:19:24.747, 1, 0, 4, 183359, 191.54
2026/06/30 12:19:24.747, 2, 0, 4, 183359, 193.05
2026/06/30 12:19:24.747, 3, 0, 4, 183359, 198.03
2026/06/30 12:19:24.747, 4, 0, 4, 183359, 189.21
2026/06/30 12:19:24.747, 5, 0, 4, 183359, 191.85
2026/06/30 12:19:24.747, 6, 0, 4, 183359, 192.61
2026/06/30 12:19:24.747, 7, 0, 4, 183359, 188.62
2026/06/30 12:19:29.747, 0, 0, 4, 183359, 190.22
2026/06/30 12:19:29.747, 1, 0, 4, 183359, 191.50
2026/06/30 12:19:29.747, 2, 0, 4, 183359, 193.02
2026/06/30 12:19:29.747, 3, 0, 4, 183359, 198.07
2026/06/30 12:19:29.747, 4, 0, 4, 183359, 189.07
2026/06/30 12:19:29.747, 5, 0, 4, 183359, 191.72
2026/06/30 12:19:29.747, 6, 0, 4, 183359, 192.59
2026/06/30 12:19:29.747, 7, 0, 4, 183359, 188.64
2026/06/30 12:19:34.748, 0, 0, 4, 183359, 190.25
2026/06/30 12:19:34.748, 1, 0, 4, 183359, 190.35
2026/06/30 12:19:34.748, 2, 0, 4, 183359, 192.94
2026/06/30 12:19:34.748, 3, 0, 4, 183359, 197.85
