timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 09:33:55.758, 0, 0, 0, 183359, 189.57
2026/06/30 09:33:55.760, 1, 0, 0, 183359, 193.17
2026/06/30 09:33:55.762, 2, 0, 0, 183359, 183.99
2026/06/30 09:33:55.763, 3, 0, 0, 183359, 193.27
2026/06/30 09:33:55.765, 4, 0, 0, 183359, 191.02
2026/06/30 09:33:55.767, 5, 0, 0, 183359, 193.61
2026/06/30 09:33:55.769, 6, 0, 0, 183359, 196.45
2026/06/30 09:33:55.770, 7, 0, 0, 183359, 191.24
2026/06/30 09:34:00.772, 0, 0, 0, 183359, 189.64
2026/06/30 09:34:00.772, 1, 0, 0, 183359, 193.33
2026/06/30 09:34:00.772, 2, 0, 0, 183359, 183.97
2026/06/30 09:34:00.772, 3, 0, 0, 183359, 193.34
2026/06/30 09:34:00.772, 4, 0, 0, 183359, 190.99
2026/06/30 09:34:00.772, 5, 0, 0, 183359, 193.65
2026/06/30 09:34:00.772, 6, 0, 0, 183359, 196.51
2026/06/30 09:34:00.772, 7, 0, 0, 183359, 191.22
2026/06/30 09:34:05.773, 0, 0, 0, 183359, 189.68
2026/06/30 09:34:05.773, 1, 0, 0, 183359, 193.32
2026/06/30 09:34:05.773, 2, 0, 0, 183359, 184.03
2026/06/30 09:34:05.773, 3, 0, 0, 183359, 193.31
2026/06/30 09:34:05.773, 4, 0, 0, 183359, 191.01
2026/06/30 09:34:05.773, 5, 0, 0, 183359, 193.64
2026/06/30 09:34:05.773, 6, 0, 0, 183359, 196.23
2026/06/30 09:34:05.773, 7, 0, 0, 183359, 191.18
2026/06/30 09:34:10.773, 0, 0, 0, 183359, 189.57
2026/06/30 09:34:10.773, 1, 0, 0, 183359, 193.31
2026/06/30 09:34:10.773, 2, 0, 0, 183359, 184.06
2026/06/30 09:34:10.773, 3, 0, 0, 183359, 193.45
2026/06/30 09:34:10.773, 4, 0, 0, 183359, 191.00
2026/06/30 09:34:10.773, 5, 0, 0, 183359, 193.52
2026/06/30 09:34:10.773, 6, 0, 0, 183359, 196.26
2026/06/30 09:34:10.773, 7, 0, 0, 183359, 191.17
2026/06/30 09:34:15.774, 0, 0, 4, 183359, 189.77
