timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 05:13:00.667, 0, 0, 0, 183359, 190.79
2026/06/30 05:13:00.669, 1, 0, 0, 183359, 193.19
2026/06/30 05:13:00.670, 2, 0, 0, 183359, 187.78
2026/06/30 05:13:00.672, 3, 0, 0, 183359, 191.00
2026/06/30 05:13:00.673, 4, 0, 0, 183359, 187.47
2026/06/30 05:13:00.675, 5, 0, 0, 183359, 193.97
2026/06/30 05:13:00.676, 6, 0, 0, 183359, 192.58
2026/06/30 05:13:00.678, 7, 0, 0, 183359, 186.42
2026/06/30 05:13:05.679, 0, 0, 0, 183359, 190.92
2026/06/30 05:13:05.682, 1, 0, 0, 183359, 193.22
2026/06/30 05:13:05.684, 2, 0, 0, 183359, 187.78
2026/06/30 05:13:05.685, 3, 0, 0, 183359, 191.05
2026/06/30 05:13:05.685, 4, 0, 0, 183359, 187.50
2026/06/30 05:13:05.686, 5, 0, 0, 183359, 194.06
2026/06/30 05:13:05.686, 6, 0, 0, 183359, 192.62
2026/06/30 05:13:05.686, 7, 0, 0, 183359, 186.57
2026/06/30 05:13:10.687, 0, 0, 0, 183359, 190.86
2026/06/30 05:13:10.687, 1, 0, 0, 183359, 193.22
2026/06/30 05:13:10.687, 2, 0, 0, 183359, 187.82
2026/06/30 05:13:10.687, 3, 0, 0, 183359, 191.11
2026/06/30 05:13:10.687, 4, 0, 0, 183359, 187.58
2026/06/30 05:13:10.687, 5, 0, 0, 183359, 194.04
2026/06/30 05:13:10.687, 6, 0, 0, 183359, 192.49
2026/06/30 05:13:10.687, 7, 0, 0, 183359, 186.52
2026/06/30 05:13:15.687, 0, 0, 4, 183359, 191.01
2026/06/30 05:13:15.687, 1, 0, 4, 183359, 193.33
2026/06/30 05:13:15.687, 2, 0, 4, 183359, 187.94
2026/06/30 05:13:15.687, 3, 0, 4, 183359, 191.23
2026/06/30 05:13:15.687, 4, 0, 4, 183359, 187.74
2026/06/30 05:13:15.687, 5, 0, 4, 183359, 194.26
2026/06/30 05:13:15.687, 6, 0, 4, 183359, 192.72
2026/06/30 05:13:15.687, 7, 0, 4, 183359, 186.70
2026/06/30 05:13:20.688, 0, 0, 4, 183359, 191.02
2026/06/30 05:13:20.688, 1, 0, 4, 183359, 193.28
2026/06/30 05:13:20.688, 2, 0, 4, 183359, 187.93
2026/06/30 05:13:20.688, 3, 0, 4, 183359, 191.16
2026/06/30 05:13:20.688, 4, 0, 4, 183359, 187.64
2026/06/30 05:13:20.688, 5, 0, 4, 183359, 194.22
2026/06/30 05:13:20.688, 6, 0, 4, 183359, 192.57
2026/06/30 05:13:20.688, 7, 0, 4, 183359, 186.67
2026/06/30 05:13:25.688, 0, 0, 4, 183359, 190.96
2026/06/30 05:13:25.688, 1, 0, 4, 183359, 193.37
2026/06/30 05:13:25.688, 2, 0, 4, 183359, 187.88
2026/06/30 05:13:25.688, 3, 0, 4, 183359, 191.10
2026/06/30 05:13:25.688, 4, 0, 4, 183359, 187.63
2026/06/30 05:13:25.688, 5, 0, 4, 183359, 194.07
2026/06/30 05:13:25.688, 6, 0, 4, 183359, 192.66
2026/06/30 05:13:25.688, 7, 0, 4, 183359, 186.59
2026/06/30 05:13:30.689, 0, 0, 4, 183359, 190.99
2026/06/30 05:13:30.689, 1, 0, 4, 183359, 193.37
2026/06/30 05:13:30.689, 2, 0, 4, 183359, 188.01
2026/06/30 05:13:30.689, 3, 0, 4, 183359, 191.24
2026/06/30 05:13:30.689, 4, 0, 4, 183359, 187.78
2026/06/30 05:13:30.689, 5, 0, 4, 183359, 194.14
2026/06/30 05:13:30.689, 6, 0, 4, 183359, 192.65
