timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/06/30 05:54:27.371, 0, 0, 0, 183359, 191.49
2026/06/30 05:54:27.374, 1, 0, 0, 183359, 190.49
2026/06/30 05:54:27.375, 2, 0, 0, 183359, 187.22
2026/06/30 05:54:27.377, 3, 0, 0, 183359, 194.28
2026/06/30 05:54:27.378, 4, 0, 0, 183359, 192.46
2026/06/30 05:54:27.380, 5, 0, 0, 183359, 192.28
2026/06/30 05:54:27.381, 6, 0, 0, 183359, 194.36
2026/06/30 05:54:27.383, 7, 0, 0, 183359, 191.08
2026/06/30 05:54:32.385, 0, 0, 0, 183359, 191.48
2026/06/30 05:54:32.385, 1, 0, 0, 183359, 190.60
2026/06/30 05:54:32.385, 2, 0, 0, 183359, 187.27
2026/06/30 05:54:32.385, 3, 0, 0, 183359, 194.30
2026/06/30 05:54:32.385, 4, 0, 0, 183359, 192.44
2026/06/30 05:54:32.385, 5, 0, 0, 183359, 192.28
2026/06/30 05:54:32.385, 6, 0, 0, 183359, 194.26
2026/06/30 05:54:32.385, 7, 0, 0, 183359, 191.11
2026/06/30 05:54:37.385, 0, 0, 0, 183359, 191.47
2026/06/30 05:54:37.385, 1, 0, 0, 183359, 190.44
2026/06/30 05:54:37.385, 2, 0, 0, 183359, 187.29
2026/06/30 05:54:37.385, 3, 0, 0, 183359, 194.31
2026/06/30 05:54:37.385, 4, 0, 0, 183359, 192.47
2026/06/30 05:54:37.385, 5, 0, 0, 183359, 192.29
2026/06/30 05:54:37.385, 6, 0, 0, 183359, 194.38
2026/06/30 05:54:37.385, 7, 0, 0, 183359, 191.11
2026/06/30 05:54:42.386, 0, 0, 4, 183359, 191.47
2026/06/30 05:54:42.386, 1, 0, 4, 183359, 190.53
2026/06/30 05:54:42.386, 2, 0, 4, 183359, 187.37
2026/06/30 05:54:42.386, 3, 0, 4, 183359, 194.42
2026/06/30 05:54:42.386, 4, 0, 4, 183359, 192.59
2026/06/30 05:54:42.386, 5, 0, 4, 183359, 192.48
2026/06/30 05:54:42.386, 6, 0, 4, 183359, 194.48
2026/06/30 05:54:42.386, 7, 0, 4, 183359, 191.41
2026/06/30 05:54:47.386, 0, 0, 4, 183359, 191.40
2026/06/30 05:54:47.386, 1, 0, 4, 183359, 190.72
2026/06/30 05:54:47.386, 2, 0, 4, 183359, 187.35
2026/06/30 05:54:47.386, 3, 0, 4, 183359, 194.35
2026/06/30 05:54:47.386, 4, 0, 4, 183359, 192.38
2026/06/30 05:54:47.386, 5, 0, 4, 183359, 192.33
2026/06/30 05:54:47.386, 6, 0, 4, 183359, 194.33
2026/06/30 05:54:47.387, 7, 0, 4, 183359, 191.15
2026/06/30 05:54:52.387, 0, 0, 4, 183359, 191.56
2026/06/30 05:54:52.387, 1, 0, 4, 183359, 190.49
2026/06/30 05:54:52.387, 2, 0, 4, 183359, 187.37
2026/06/30 05:54:52.387, 3, 0, 4, 183359, 194.37
2026/06/30 05:54:52.387, 4, 0, 4, 183359, 192.44
2026/06/30 05:54:52.387, 5, 0, 4, 183359, 192.37
2026/06/30 05:54:52.387, 6, 0, 4, 183359, 194.33
2026/06/30 05:54:52.387, 7, 0, 4, 183359, 191.18
2026/06/30 05:54:57.387, 0, 0, 4, 183359, 191.49
2026/06/30 05:54:57.388, 1, 0, 4, 183359, 190.53
2026/06/30 05:54:57.388, 2, 0, 4, 183359, 187.38
2026/06/30 05:54:57.388, 3, 0, 4, 183359, 194.34
2026/06/30 05:54:57.388, 4, 0, 4, 183359, 192.52
2026/06/30 05:54:57.388, 5, 0, 4, 183359, 192.33
